Factory,Month,GHG,SAH,EFF,WH,W
1396,2021-09-01,5543.3,133646.0,0.33,907546.0,4173.0
1966,2021-09-01,3398.2,23599.0,0.31,149467.0,692.0
150,2021-08-01,10241.2,287948.0,0.75,802226.0,3621.0
434,2021-08-01,18131.2,273890.0,0.48,1215118.0,5479.0
761,2021-08-01,16791.1,150008.0,0.63,485250.0,2199.0
1122,2021-08-01,5852.5,159794.0,0.55,569579.0,2559.0
1396,2021-08-01,4491.1,136992.0,0.36,842749.0,3815.0
1966,2021-08-01,3131.1,24079.0,0.37,137088.0,630.0
150,2021-07-01,11651.8,325557.0,0.65,1019921.0,4715.0
434,2021-07-01,13121.9,274198.0,0.54,967774.0,4415.0
761,2021-07-01,19678.9,169463.0,0.6,531574.0,2446.0
1122,2021-07-01,4635.5,151316.0,0.55,521099.0,2442.0
1396,2021-07-01,6379.4,175613.0,0.35,1011876.0,4586.0
150,2021-06-01,10080.2,259746.0,0.7,737763.0,3358.0
434,2021-06-01,18248.9,302992.0,0.56,1023481.0,4709.0
761,2021-06-01,16290.7,131616.0,0.75,356545.0,1612.0
1122,2021-06-01,7292.9,152547.0,0.49,724951.0,3341.0
1396,2021-06-01,5507.8,144079.0,0.33,888536.0,3992.0
150,2021-05-01,8165.8,263270.0,0.73,790027.0,3577.0
434,2021-05-01,17740.4,249840.0,0.42,1170440.0,5233.0
761,2021-05-01,15203.5,140160.0,0.69,425647.0,1982.0
1122,2021-05-01,6578.9,149871.0,0.55,497802.0,2284.0
1396,2021-05-01,6131.5,152523.0,0.38,835430.0,3827.0
150,2021-04-01,11170.9,298924.0,0.72,825167.0,3759.0
434,2021-04-01,22992.1,290406.0,0.51,1103856.0,4976.0
761,2021-04-01,15780.7,162289.0,0.69,476936.0,2098.0
1122,2021-04-01,6980.0,163460.0,0.46,684281.0,3009.0
1396,2021-04-01,6613.1,133861.0,0.37,763873.0,3433.0
150,2021-03-01,7890.3,280523.0,0.78,665347.0,3102.0
434,2021-03-01,16042.8,271677.0,0.53,1059361.0,4937.0
761,2021-03-01,15663.3,123802.0,0.73,345049.0,1582.0
1122,2021-03-01,5115.4,120957.0,0.47,460841.0,2148.0
1396,2021-03-01,6261.2,145119.0,0.31,925308.0,4255.0
150,2021-02-01,8095.2,254095.0,0.77,680694.0,3044.0
434,2021-02-01,13400.4,289926.0,0.59,1022653.0,4611.0
761,2021-02-01,15120.7,131954.0,0.64,388915.0,1773.0
1122,2021-02-01,9669.9,166199.0,0.51,660364.0,3004.0
1396,2021-02-01,6698.9,145344.0,0.38,808841.0,3623.0
150,2021-01-01,12126.9,313981.0,0.59,1032734.0,4583.0
434,2021-01-01,21633.3,288876.0,0.46,1329577.0,5961.0
761,2021-01-01,13641.7,155060.0,0.75,380540.0,1770.0
1122,2021-01-01,7640.5,141111.0,0.41,626051.0,2815.0
1396,2021-01-01,6496.8,142902.0,0.33,899299.0,4168.0
150,2020-12-01,12022.1,297755.0,0.69,898182.0,4080.0
434,2020-12-01,16809.6,266112.0,0.53,958310.0,4251.0
761,2020-12-01,18798.3,143853.0,0.69,404059.0,1779.0
1122,2020-12-01,8338.9,151152.0,0.44,773470.0,3510.0
1396,2020-12-01,5128.7,126069.0,0.41,618308.0,2756.0
150,2020-11-01,10187.4,306734.0,0.77,832092.0,3834.0
434,2020-11-01,17369.0,284854.0,0.5,1180078.0,5398.0
761,2020-11-01,15878.9,143902.0,0.7,401726.0,1845.0
1122,2020-11-01,5758.2,137203.0,0.45,546533.0,2442.0
1396,2020-11-01,4707.7,124588.0,0.39,639329.0,2925.0
150,2020-10-01,10876.6,338432.0,0.65,891624.0,4103.0
434,2020-10-01,16770.6,302069.0,0.52,1207997.0,5496.0
761,2020-10-01,14663.7,161663.0,0.77,428653.0,1980.0
1122,2020-10-01,8179.9,143181.0,0.47,612579.0,2774.0
1396,2020-10-01,5437.7,142163.0,0.36,750081.0,3435.0
150,2020-09-01,10416.8,281510.0,0.69,839064.0,3859.0
434,2020-09-01,22676.7,297678.0,0.47,1194216.0,5345.0
761,2020-09-01,18331.0,159512.0,0.68,459444.0,2074.0
1122,2020-09-01,8379.6,142095.0,0.44,648432.0,2927.0
1396,2020-09-01,4768.8,126931.0,0.37,684838.0,3076.0
150,2020-08-01,9743.9,300285.0,0.62,916450.0,4147.0
434,2020-08-01,17653.2,259499.0,0.48,1031435.0,4738.0
761,2020-08-01,13490.5,121741.0,0.68,342363.0,1558.0
1122,2020-08-01,6057.0,132260.0,0.46,520933.0,2349.0
1396,2020-08-01,10956.5,162114.0,0.3,1306673.0,5936.0
150,2020-07-01,11544.1,267700.0,0.67,803907.0,3615.0
434,2020-07-01,18326.3,260251.0,0.46,1071475.0,4868.0
761,2020-07-01,23888.1,173677.0,0.66,529019.0,2417.0
1122,2020-07-01,10780.4,150537.0,0.45,750249.0,3387.0
1396,2020-07-01,6764.6,170253.0,0.35,891376.0,4088.0
150,2020-06-01,11313.2,292389.0,0.75,758565.0,3403.0
434,2020-06-01,11498.1,237748.0,0.57,850428.0,3805.0
761,2020-06-01,15684.6,154932.0,0.75,431944.0,1969.0
1122,2020-06-01,8113.1,147994.0,0.47,661822.0,2962.0
1396,2020-06-01,6266.6,139265.0,0.3,1054755.0,4819.0
150,2020-05-01,12741.2,297490.0,0.66,924552.0,4213.0
434,2020-05-01,18708.1,260619.0,0.43,1341468.0,6206.0
761,2020-05-01,16434.3,145004.0,0.72,402640.0,1824.0
1122,2020-05-01,8323.2,147813.0,0.47,626602.0,2835.0
1396,2020-05-01,7421.5,158759.0,0.36,960418.0,4381.0
150,2020-04-01,14487.6,285881.0,0.62,961538.0,4296.0
434,2020-04-01,17027.1,273508.0,0.53,1015544.0,4670.0
761,2020-04-01,16908.5,154752.0,0.7,461605.0,2090.0
1122,2020-04-01,5502.2,139584.0,0.66,387660.0,1783.0
1396,2020-04-01,7132.5,157549.0,0.32,985779.0,4495.0
150,2020-03-01,14869.8,314680.0,0.61,1136985.0,5193.0
434,2020-03-01,16787.8,257503.0,0.46,1166523.0,5234.0
761,2020-03-01,21520.6,169911.0,0.68,479783.0,2162.0
1122,2020-03-01,7302.5,151032.0,0.54,559126.0,2521.0
1396,2020-03-01,4933.5,149597.0,0.46,620110.0,2871.0
150,2020-02-01,9371.9,259441.0,0.61,850720.0,3879.0
434,2020-02-01,23911.7,317810.0,0.46,1347173.0,6154.0
761,2020-02-01,25614.2,150878.0,0.55,545606.0,2452.0
1122,2020-02-01,10237.9,189258.0,0.5,764799.0,3380.0
1396,2020-02-01,5967.3,164469.0,0.37,956548.0,4378.0
150,2020-01-01,9040.4,305509.0,0.76,840090.0,3853.0
434,2020-01-01,14227.9,268496.0,0.55,934816.0,4251.0
761,2020-01-01,14819.0,147198.0,0.65,443794.0,2025.0
1122,2020-01-01,7238.6,158867.0,0.58,513983.0,2333.0
1396,2020-01-01,8266.5,157597.0,0.34,868846.0,3918.0
150,2019-12-01,7718.2,287115.0,0.86,634660.0,2946.0
434,2019-12-01,17841.6,307648.0,0.4,1466242.0,6610.0
761,2019-12-01,14893.8,148313.0,0.79,368468.0,1677.0
